key,0,1,2,3,4,5,6
#,,Quest,Text[Long],Text[Short],Text[Commentary],,Section
int32,byte,Quest,str,str,str,bit&01,DescriptionSection
3604480,0,0,"","","",False,0
3604481,0,0,"","","",False,0
3604482,0,68737,"多瑪方城戰解說","MAHJONG","ドマ式麻雀解説",True,2
3604483,0,0,"烈羽爭鋒解說","RIVAL WINGS","ライバルウィングズ解説",True,3
3604484,0,0,"房屋解說","HOUSING","ハウジング解説",True,4
3604485,0,0,"昔日重現模式解說","昔日重現模式解說","つよくてニューゲーム解説",True,2
3604486,0,0,"紛爭前線解說","FRONTLINE","フロントライン解説",True,7
3604487,0,0,"出海垂釣解說","OCEAN FISHING","オーシャンフィッシング解説",True,8
3604488,0,0,"幻巧拼圖解說","FAUX HOLLOWS","ソーチョーの幻想盤解説",True,9
3604489,0,0,"南方博茲雅戰線解說","THE BOZJAN SOUTHERN FRONT","南方ボズヤ戦線解説",True,10
3604490,0,0,"義軍等級解說","RESISTANCE RANK","レジスタンスランク解説",True,11
3604491,0,0,"失傳技能解說","LOST ACTION","ロストアクション解説",True,13
3604492,0,0,"博茲雅晶簇解說","BOZJA CLUSTER","ボズヤクラスター解説",True,12
3604493,0,0,"九宮幻卡錦標賽解說解說","CARD TOURNAMENT","トリプルトライアドトーナメント解説",True,14
3604494,0,0,"","","",True,15
3604495,0,0,"","","",True,16
3604496,0,0,"義軍勳章解說","RESISTANCE HONORS","レジスタンス勲章解説",True,17
3604497,0,0,"扎杜諾爾高原戰線解說","ZADNOR","ザトゥノル高原解説",True,18
3604498,0,0,"玩家對戰解說","PvP","PvP解説",True,19
3604499,0,0,"水晶衝突解說","CRYSTALLINE CONFLICT","クリスタルコンフリクト解説",True,20
3604500,2,0,"深層迷宮","DEEP DUNGEON","ディープダンジョンの説明",True,25
3604501,2,0,"深層迷宮","DEEP DUNGEON","ディープダンジョンの説明",True,26
3604502,2,0,"深層迷宮","DEEP DUNGEON","ディープダンジョンの説明",True,27
